Model year,Make,Model,Vehicle class,Engine_size,Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined,Combined (mpg),CO2emissions,CO2 rating,Smog rating
2025,Cadillac,XT5 AWD,Sport utility vehicle: Small,2,4,AS9,Z,11.2,8.7,10.1,28,237,5,6
2025,Cadillac,XT5 AWD,Sport utility vehicle: Small,3.6,6,AS9,X,12.9,9.2,11.2,25,264,4,5
2025,Cadillac,XT6 AWD,Sport utility vehicle: Small,2,4,AS9,Z,11.2,9,10.2,28,239,5,6
2025,Cadillac,XT6 AWD,Sport utility vehicle: Small,3.6,6,AS9,X,13.1,9.5,11.5,25,270,4,5
2025,Chevrolet,Blazer AWD,Sport utility vehicle: Small,2,4,A9,X,10.8,8.7,9.9,29,229,5,6
2025,Chevrolet,Blazer AWD,Sport utility vehicle: Small,3.6,6,A9,X,12.8,9.1,11.2,25,262,4,5
2025,Chevrolet,Colorado,Pickup truck: Standard,2.7,4,A8,X,12.4,10.3,11.5,25,291,4,6
2025,Chevrolet,Colorado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.6,11,12.4,23,303,4,6
2025,Chevrolet,Colorado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14,11.9,13.1,22,307,4,6
2025,Chevrolet,Colorado ZR2 4WD,Pickup truck: Standard,2.7,4,A8,X,14.1,13.8,14,20,328,3,6
2025,Chevrolet,Colorado ZR2 Bison 4WD,Pickup truck: Standard,2.7,4,A8,X,14.8,15.1,14.9,19,350,3,6
2025,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15,9.4,12.5,23,294,4,4
2025,Chevrolet,Corvette E-Ray,Two-seater,6.2,8,AS8,Z,15.2,9.7,12.7,22,298,4,2
2025,Chevrolet,Corvette Z06,Two-seater,5.5,8,AS8,Z,20,11.7,16.3,17,382,2,2
2025,Chevrolet,Corvette Z06 Carbon Aero,Two-seater,5.5,8,AS8,Z,20,12.6,16.7,17,392,2,2
2025,Chevrolet,Corvette ZR1,Two-seater,5.5,8,AS8,Z,20,13,16.9,17,396,2,2
2025,Chevrolet,Equinox,Sport utility vehicle: Small,1.5,4,AV,X,9.2,8.3,8.8,32,206,5,6
2025,Chevrolet,Equinox AWD,Sport utility vehicle: Small,1.5,4,A8,X,10,8.2,9.2,31,216,5,6
2025,Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.5,6.8,7.7,37,180,6,6
2025,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,13.4,11.2,12.5,23,292,4,6
2025,Chevrolet,Silverado,Pickup truck: Standard,3,6,A10,D,10,8.3,9.3,30,249,5,4
2025,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A10,X,14.8,11.2,13.2,21,309,4,6
2025,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.7,12,12.9,22,303,4,6
2025,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14.7,13.8,14.3,20,335,3,6
2025,Chevrolet,Silverado 4WD,Pickup truck: Standard,3,6,A10,D,10.7,9.3,10.1,28,270,4,4
2025,Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,3,6,A10,D,10.6,9,9.9,29,266,4,4
2025,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,3,6,A10,D,11.1,10,10.6,27,285,4,4
2025,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,15.2,12.4,13.9,20,326,3,6
2025,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A10,X,15.2,12.2,13.9,20,326,3,4
2025,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A10,E,21.3,16.6,19.2,15,318,3,4
2025,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A10,X,15.6,13.1,14.5,19,339,3,6
2025,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,15.8,12,14.1,20,331,3,5
2025,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,6.2,8,A10,Z,17.1,14,15.7,18,368,2,5
2025,Chevrolet,Silverado 4WD ZR2,Pickup truck: Standard,3,6,A10,D,11.7,10.3,11.1,25,298,4,4
2025,Chevrolet,Silverado 4WD ZR2,Pickup truck: Standard,6.2,8,A10,Z,17.1,14.1,15.7,18,370,2,5
2025,Chevrolet,Suburban,Sport utility vehicle: Standard,5.3,8,A10,X,15.7,12,14,20,329,3,6
2025,Chevrolet,Suburban 4WD,Sport utility vehicle: Standard,3,6,A10,D,11.5,9.7,10.7,26,287,4,4
2025,Chevrolet,Suburban 4WD,Sport utility vehicle: Standard,5.3,8,A10,X,17.1,12.6,15.1,19,353,3,6
2025,Chevrolet,Suburban 4WD,Sport utility vehicle: Standard,6.2,8,A10,Z,16.6,13,15,19,352,3,5
2025,Chevrolet,Tahoe,Sport utility vehicle: Standard,5.3,8,A10,X,15.7,12,14,20,329,3,6
2025,Chevrolet,Tahoe 4WD,Sport utility vehicle: Standard,3,6,A10,D,11.5,9.7,10.7,26,287,4,4
2025,Chevrolet,Tahoe 4WD,Sport utility vehicle: Standard,5.3,8,A10,X,15.9,12.5,14.4,20,337,3,6
2025,Chevrolet,Tahoe 4WD,Sport utility vehicle: Standard,6.2,8,A10,Z,16.6,13,15,19,352,3,5
